t_frame,t_time,t_opcode,t_handle,t_value,r_frame,r_time,r_opcode,r_handle,r_value,dt
12335,88605.535535,WRITE_CMD,0x0026,000008000100021a0c65336632623763306134336322e7047b226162696c697479223a5b226162696c69747952656c6179222c226162696c69747952656c6179427970617373222c226162696c697479416972222c226162696c6974795368617265225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a7b226162696c69747952656c6179223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226973537570706f72744d617070696e675c5c5c223a66616c73652c5c5c5c226d657461496e666f5c5c5c223a5b5d2c5c5c5c226d6574614d61705c5c5c223a7b7d7d5c222c5c22737570706f7274546c765c223a747275657d222c226162696c697479416972223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a302c226465766963654964223a226533663262,12340,88605.577224,NOTIFY,0x0026,00000900021a0c32633666346530306463623122ca027b226162696c697479223a205b226162696c6974795368617265222c20226162696c697479416972225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a207b226162696c697479416972223a20227b5c2261677265656d656e74547970655c223a312c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a20312c2273657373696f6e223a202232393934222c22737570706f7274546c76223a20747275657d3a03312e326801720a31343332353636303033,0.041689
12336,88605.541919,WRITE_CMD,0x0026,010037633061343363222c226465766963654e616d65223a22506978656c20392050726f222c2273657373696f6e223a2237373336222c22737570706f7274546c76223a747275652c22737570706f72745669727475616c223a66616c73652c2276657273696f6e223a22322e34302e3531222c22776569676874223a3333353737337d3a03312e324a1774696d657374616d702d31373636383935373537373437,12340,88605.577224,NOTIFY,0x0026,00000900021a0c32633666346530306463623122ca027b226162696c697479223a205b226162696c6974795368617265222c20226162696c697479416972225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a207b226162696c697479416972223a20227b5c2261677265656d656e74547970655c223a312c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a20312c2273657373696f6e223a202232393934222c22737570706f7274546c76223a20747275657d3a03312e326801720a31343332353636303033,0.035305
12343,88605.606461,WRITE_CMD,0x0026,00000800010002080c1a0c65336632623763306134336322e7047b226162696c697479223a5b226162696c69747952656c6179222c226162696c69747952656c6179427970617373222c226162696c697479416972222c226162696c6974795368617265225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a7b226162696c69747952656c6179223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226973537570706f72744d617070696e675c5c5c223a66616c73652c5c5c5c226d657461496e666f5c5c5c223a5b5d2c5c5c5c226d6574614d61705c5c5c223a7b7d7d5c222c5c22737570706f7274546c765c223a747275657d222c226162696c697479416972223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a302c226465766963654964223a22653366,12347,88605.648794,NOTIFY,0x0023,000009100a064e23ffb190d310471a0421910000,0.042333
12344,88605.62255,WRITE_CMD,0x0026,0100326237633061343363222c226465766963654e616d65223a22506978656c20392050726f222c2273657373696f6e223a2237373336222c22737570706f7274546c76223a747275652c22737570706f72745669727475616c223a66616c73652c2276657273696f6e223a22322e34302e3531222c22776569676874223a3333353737337d3a03312e324a1774696d657374616d702d3137363638393537353738313960d7d3c699b633,12347,88605.648794,NOTIFY,0x0023,000009100a064e23ffb190d310471a0421910000,0.026244
12895,88625.490742,WRITE_CMD,0x0026,000008000100021a0c65336632623763306134336322e7047b226162696c697479223a5b226162696c69747952656c6179222c226162696c69747952656c6179427970617373222c226162696c697479416972222c226162696c6974795368617265225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a7b226162696c69747952656c6179223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226973537570706f72744d617070696e675c5c5c223a66616c73652c5c5c5c226d657461496e666f5c5c5c223a5b5d2c5c5c5c226d6574614d61705c5c5c223a7b7d7d5c222c5c22737570706f7274546c765c223a747275657d222c226162696c697479416972223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a302c226465766963654964223a226533663262,12899,88625.588655,NOTIFY,0x0023,000009100a064e23ffb190d310281a109fb50ae340a9c79118cda7c2a1801a49,0.097913
12898,88625.506415,WRITE_CMD,0x0026,010037633061343363222c226465766963654e616d65223a22506978656c20392050726f222c2273657373696f6e223a2237363937222c22737570706f7274546c76223a747275652c22737570706f72745669727475616c223a66616c73652c2276657273696f6e223a22322e34302e3531222c22776569676874223a3231313332317d3a03312e324a1774696d657374616d702d31373636383935373737373036,12899,88625.588655,NOTIFY,0x0023,000009100a064e23ffb190d310281a109fb50ae340a9c79118cda7c2a1801a49,0.082240
12905,88625.614465,WRITE_CMD,0x0026,00000800010002080c1a0c65336632623763306134336322e7047b226162696c697479223a5b226162696c69747952656c6179222c226162696c69747952656c6179427970617373222c226162696c697479416972222c226162696c6974795368617265225d2c226162696c69747941747472696275746573223a7b226162696c69747941747472696275746573223a7b226162696c69747952656c6179223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226973537570706f72744d617070696e675c5c5c223a66616c73652c5c5c5c226d657461496e666f5c5c5c223a5b5d2c5c5c5c226d6574614d61705c5c5c223a7b7d7d5c222c5c22737570706f7274546c765c223a747275657d222c226162696c697479416972223a227b5c2261677265656d656e74547970655c223a302c5c226a736f6e5c223a5c227b5c5c5c226169724d617070696e675c5c5c223a7b5c5c5c22315c5c5c223a5c5c5c22636f6d2e75707570686f6e652e737461722e6c61756e636865725c5c5c222c5c5c5c22325c5c5c223a5c5c5c22636f6d2e75707570686f6e652e7468616e6f732e73646b5f746573745c5c5c227d7d5c222c5c22737570706f7274546c765c223a747275657d227d7d2c2261677265656d656e7454797065223a302c226465766963654964223a22653366,12909,88625.68306,NOTIFY,0x0023,000009100a064e23ffb190d310471a0421910000,0.068595
12906,88625.629492,WRITE_CMD,0x0026,0100326237633061343363222c226465766963654e616d65223a22506978656c20392050726f222c2273657373696f6e223a2237363937222c22737570706f7274546c76223a747275652c22737570706f72745669727475616c223a66616c73652c2276657273696f6e223a22322e34302e3531222c22776569676874223a3231313332317d3a03312e324a1774696d657374616d702d3137363638393537373738323960e7efc799b633,12909,88625.68306,NOTIFY,0x0023,000009100a064e23ffb190d310471a0421910000,0.053568
12911,88625.75829,WRITE_CMD,0x0026,00000900017000010371000b6400010465000400000002,12914,88626.015635,NOTIFY,0x0026,0000090001700001037100186400010365000400000003670001006d0001016900022008,0.257345
12913,88625.920249,WRITE_CMD,0x0026,00000900017000010371001864000103650004000000026700010169000220086d000101,12914,88626.015635,NOTIFY,0x0026,0000090001700001037100186400010365000400000003670001006d0001016900022008,0.095386
