dir,handle,opcode,start_frame,end_frame,len,action,subaction
0x00,0x0023,0x52,12315,12318,61,,
0x01,0x0023,0x1b,12320,12320,48,,
0x00,0x0023,0x52,12321,12321,115,,
0x01,0x0023,0x1b,12322,12322,2,,
0x01,0x0023,0x1b,12324,12324,190,,
0x00,0x0023,0x52,12325,12325,94,,
0x01,0x0023,0x1b,12327,12327,2,,
0x00,0x0026,0x52,12335,12336,667,,
0x01,0x0026,0x1b,12340,12340,369,,
0x00,0x0026,0x52,12343,12344,676,,
0x01,0x0023,0x1b,12347,12347,18,,
0x01,0x0023,0x1b,12393,12393,18,,
0x01,0x0023,0x1b,12394,12394,18,,
0x01,0x0023,0x1b,12396,12396,18,,
0x01,0x0023,0x1b,12397,12397,18,,
0x01,0x0023,0x1b,12398,12398,18,,
0x01,0x0023,0x1b,12399,12399,18,,
0x01,0x0023,0x1b,12400,12400,18,,
0x01,0x0023,0x1b,12401,12401,18,,
0x01,0x0023,0x1b,12402,12402,18,,
0x01,0x0023,0x1b,12403,12403,18,,
0x01,0x0023,0x1b,12430,12430,18,,
0x01,0x0023,0x1b,12431,12431,18,,
0x01,0x0023,0x1b,12432,12432,18,,
0x01,0x0023,0x1b,12433,12433,18,,
0x01,0x0026,0x1b,12669,12669,32,,
0x01,0x0023,0x1b,12670,12670,18,,
0x01,0x0023,0x1b,12671,12671,18,,
0x01,0x0023,0x1b,12810,12810,18,,
0x01,0x0023,0x1b,12811,12811,18,,
0x00,0x0023,0x52,12883,12884,61,,
0x01,0x0023,0x1b,12886,12886,48,,
0x00,0x0023,0x52,12887,12887,94,,
0x01,0x0023,0x1b,12889,12889,2,,
0x01,0x0023,0x1b,12891,12891,94,,
0x00,0x0023,0x52,12892,12892,12,,
0x00,0x0026,0x52,12895,12898,667,,
0x01,0x0023,0x1b,12899,12899,30,,
0x01,0x0026,0x1b,12901,12901,368,,
0x00,0x0026,0x52,12905,12906,676,,
0x01,0x0023,0x1b,12909,12909,18,,
0x01,0x0026,0x1b,12910,12910,32,,
0x00,0x0026,0x52,12911,12911,21,,
0x00,0x0026,0x52,12913,12913,34,,
0x01,0x0026,0x1b,12914,12914,34,,
0x01,0x0026,0x1b,12916,12916,21,,
0x01,0x0026,0x1b,12917,12917,120,SyncOffSetTime,
0x01,0x0026,0x1b,12918,12918,124,wearState,
0x01,0x0026,0x1b,12919,12919,120,SyncOffSetTime,
0x01,0x0026,0x1b,12920,12920,124,wearState,
0x01,0x0026,0x1b,12921,12921,232,,
0x00,0x0026,0x52,12922,12922,152,system,get_device_info
0x00,0x0026,0x52,12923,12923,154,system,wifi_enable_state
0x00,0x0026,0x52,12924,12924,149,system,get_air_mode
0x00,0x0026,0x52,12925,12925,149,system,get_zen_mode
0x00,0x0026,0x52,12926,12926,166,unicron_battery,
0x00,0x0026,0x52,12930,12930,319,system,change_dock_items
0x00,0x0026,0x52,12931,12931,149,system,get_language
0x00,0x0026,0x52,12933,12933,294,system,notify_statement_change
0x00,0x0026,0x52,12934,12934,34,,
0x01,0x0026,0x1b,12937,12937,372,,
0x01,0x0026,0x1b,12939,12939,21,,
0x00,0x0026,0x52,12941,12941,175,system,set_hear_impairment_mode
0x00,0x0026,0x52,12942,12942,214,system_account,
0x00,0x0026,0x52,12943,12943,202,feature_list,
0x01,0x0026,0x1b,12945,12945,21,,
0x01,0x0026,0x1b,12946,12946,21,,
0x00,0x0026,0x52,12947,12947,188,system,set_standby_position
